,attack_status,ground_truth,orig_prediction,attacked_token,perturbed_token,num_queries,original_text,perturbed_text,perturbed_preds
0,Failed,1,1.0,,,40,"There must have been some interesting conversations on the set of Eagle's Wing, with Martin Sheen straight off Apocalypse Now co-starred with the actor he replaced on Coppola's film, Harvey Keitel. A real unloved child of a movie, dating back to the last major batch of Westerns in 1979-80, it was much reviled at the time for being made by a British studio and director (conveniently ignoring the fact that many of the classic American westerns were directed by European émigrés), which seems a bit of an over-reaction.<br /><br />The plot is simplicity itself, as Martin Sheen's inexperienced trapper finds himself fighting with Sam Waterston's nonosyllabic Kiowa warrior over the",,1.0
1,Failed,1,1.0,,,40,"Cooley High is such a great film that even with the period's sound track, urban landscape, wardrobe and slang...it still doesn't feel dated. The sound track by the way is a timeless classic in itself.<br /><br />Instead it absorbs you right into it. That is a staple of a good movie. From start to finish it doesn't miss a beat and I never grow tired of watching it.<br /><br />It's ending is unique in the respect that it's one of the saddest and at the same time uplifting of all movie endings. There may have been a few since (Backdraft comes to mind) but Cooley was the first and much",,1.0
2,Failed,0,0.0,,,40,"Rise of the Undead starts as some huge nuclear type blast rips through an unnamed American city, a few people survive in a building by leaning on the door so it'll stay closed & keep the nastiness out(!). They argue amongst themselves for ages, then a monster thing arrives from seemingly nowhere & begins to kill them of one-by-one...<br /><br />Written, produced & directed by Jason Horton & Shannon Hubbell one has to say Rise of the Undead is terrible. The script takes itself very seriously but makes little sense, the first thing I asked myself was if there's this huge nuclear blast type thing going on outside destroying the",,0.0
3,Skipped,0,1.0,,,,"I remember seeing a clip of this movie on HBO when I was a kid and it scared the ever living crap out of me. When I found it, I watched it. I wish I hadn't. The movie wasn't scary.<br /><br />The plot revolves around an old woman running the castle. She feeds this horribly disfigured person in the cellar of a 12 century castle. She continuously beats the poor guy every day and feeds him. Well, that day, she dies. Then, a few months later, a family moves in. A father, a mother, and their blind daughter. The father was involved in a horrific car accident that got their",,1.0
4,Successful,0,0.0,least,last,17,"Okay,I had watched this movie when I was very little and the day that we were cleaning out the closet I see this!I thought,""I have no idea of what this movie was like,""so I went ahead and put it in.OH MY GOD!!!!!This film is so darn bad!I never thought that this film could ever get as close to my least favorite film as it did,but I did laugh,because all the jokes were so corny and ridiculous,not funny!!!!So much stuff in this movie was funny,because it was SO STUPID!!!!This film is not anywhere near good.I would have to say if you want to watch this movie you definitely better not expect","okaey,i had watched this movie when i was very little and the day that we were cleaning out the closet i see this!i thought,""i have no idea of what this movie was like,""so i went ahead and put it in.oh my god!!!!!this film is so darn bakd!i never thought that this film could ever get as close to my last favorite film as it did,but i did laugh,because all the jokes were so corny and ridiculous,not funny!!!!so much stuff in this movie was funny,because it was so stupid!!!!this film is not anywhere near good.i would have to say if you want to watch this movie you definitely better not expect",1.0
5,Successful,1,1.0,john,jaohn,33,"THE HAND OF DEATH most definitely rates a ten on a scale of one to- due, in no small part, to John Woo's masterful direction, coupled with Kat's superb cinematography: some of the leisurely tracking shots alone are worth the price of a rental; there are moments when this one borders on becoming an art-house film. Both James Tien and Sammo Hung make for the kind of villains you can't help but love to hate. Tien is particularly good as the baddest of the bad. It's a role reversal the likes of which I don't think I've ever seen before (Tien normally played a hero and, in fact, with his","the hand of death most definitley rates a ten on a scale of one to- due, in no small part, to jaohn woo's msaterful direction, coupled with kat's sup erb cinematography: some of the leisurely tracking shots alone are worth the price of a rental; there are moments when this one borders on becoming an art-house film. both james tien and sammo hung make for the kind of villains you can't help but love to hate. tien is particularly good as the baddest of the bad. it's a role reversal the likes of which i don't think i've ever seen before (tien normally played a hero and, in fact, with his",0.0
6,Successful,0,0.0,pay,py,13,"I love the book. It's full of passion, romance, tension... and the movie drags along taking two spunky stars with it. Kylie Minogue was already a major star in Australia, having starred in Neighbours and releasing her first single. The decision to cast her in The Delinquents was surely a marketing ploy. For me, it didn't pay off.<br /><br />Kylie may have been great in Neighbours, but she was far too sweet and innocent to play the feisty Lola... and, she wasn't of Asian descent as Lola was. Charlie Schlatter was an excellent Brownie, but there was no chemistry between him and Kylie.<br /><br />By and large, the movie was","i love the book. it's full of passion, romance, tension... and the movie drags along taking two spunky stars with it. kylie minogue was already a major star in australia, having starred in neighbours and releasing her first single. the decision to cast her in the delinquents was surely a marketing ploy. for me, it didn't py off.<br /><br />kylie may have been great in neighbours, but she was far too sweet and innocent to play the feisty lola... and, she wasn't of asain descent as lola was. charlie schlatter was an excellent brownie, but there was no chemistry between him and kylie.<br /><br />by and large, the movie was",1.0
7,Successful,0,0.0,nothing,notthing,36,"This movie is ridiculous. It's attempting to be a comedy but the screenplay is horrible. The whole movie is done in low light and you cant grasp the fact that it's a comedy. Truly is bad cinematography. You really have to sit there and watch it to realize there's a few jokes here and there going on but either way they're all inside jokes amongst themselves. This is more like a wannabe drama flick that went bad. It really is a very pointless movie.Their expressions reveal nothing but dismay and disaster which turns out that way anyway. Unless you want to be bored out of your ass, I suggest you","this movie is riiculous. it's attempting to be a comedy but the screenplay is horrible. the whole movie is done in low light and you cant grasp the fact that it's a comedy. truly is bd cinematography. you really have to sit there and watch it to realize there's a few jokes here and there going on but either way they're all inside jokes amongst themselves. this is more like a wannpabe drama flick that went bad. it really is a very poinltess movie.their expressions reveal notthing but dismay and disaster which turns out that way anyway. unlss you want to be bored out of your ass, i suggest you",1.0
8,Failed,0,0.0,,,40,"""Son of the Mask"" is a terrible excuse of a movie. I went to see this with my friend and I still wish we had seen ""Because of Winn-Dixie"" instead. I must say that it is partially my fault, as I agreed to go see it with him. Being a fan of the first ""Mask"" movie (Jim Carrey was hilarious) I had hoped it wasn't as bad as all of the critics said it was.<br /><br />Ten minutes into the movie I knew it was headed for disaster. Disgusting and pointless attempts at being funny got little seven and eight year old children shrieking with laughter, but the rest of",,0.0
9,Failed,1,1.0,,,40,"Amateur camera work aside, I thought this movie was very different, and unlike all the blogs and posts I have read, I got something totally different out of the ending than others. The premise of the story revolves around a very religious family and their ties to their church. How they must adhere to all the rigid rules and regulations, but the daughter seems to have problems staying on track, what with nasty thoughts of others and her use of bad language. Yet she prays a lot, as does her family. Then one day they are headed to a church picnic and are in an accident. From there the parents",,1.0
